Year,case_type,Count
1910,Cases,5861
1911,Cases,1931
1913,Cases,1934
1914,Cases,1220
1915,Cases,1634
1916,Cases,27363
1917,Cases,4082
1918,Cases,2493
1919,Cases,1932
1920,Cases,2325
1921,Cases,6266
1922,Cases,2222
1923,Cases,3266
1924,Cases,5199
1925,Cases,5926
1926,Cases,2528
1927,Cases,10533
1928,Cases,5113
1929,Cases,2837
1930,Cases,9188
1931,Cases,15790
1932,Cases,3778
1933,Cases,4983
1934,Cases,7519
1935,Cases,10839
1936,Cases,4523
1937,Cases,9511
1938,Cases,1712
1939,Cases,7343
1940,Cases,9826
1941,Cases,9086
1942,Cases,4033
1943,Cases,12449
1944,Cases,19029
1945,Cases,13619
1946,Cases,25191
1947,Cases,10734
1948,Cases,27680
1949,Cases,42033
1950,Cases,33300
1951,Cases,28386
1952,Cases,57879
1953,Cases,35592
1954,Cases,38476
1955,Cases,28985
1956,Cases,15140
1957,Cases,5485
1958,Cases,5787
1959,Cases,8425
1960,Cases,3190
1961,Cases,1312
1962,Cases,910
1963,Cases,449
1964,Cases,122
1965,Cases,72
1966,Cases,133
1967,Cases,41
1968,Cases,53
1969,Cases,20
1970,Cases,33
1971,Cases,21
1972,Cases,31
1973,Cases,8
1974,Cases,7
1975,Cases,8
1976,Cases,14
1977,Cases,18
1978,Cases,15
1979,Cases,34
1980,Cases,9
1981,Cases,6
1982,Cases,8
1983,Cases,15
1984,Cases,8
1985,Cases,7
1986,Cases,8
1987,Cases,6
1988,Cases,9
1989,Cases,5
1990,Cases,7
1991,Cases,8
1992,Cases,4
1993,Cases,4
1994,Cases,8
1995,Cases,6
1996,Cases,5
1997,Cases,5
1998,Cases,1
1999,Cases,2
2000,Cases,0
2001,Cases,0
2002,Cases,0
2003,Cases,0
2004,Cases,0
2005,Cases,0
2006,Cases,0
2007,Cases,0
2008,Cases,0
2009,Cases,1
2010,Cases,0
2011,Cases,0
2012,Cases,0
2013,Cases,0
2014,Cases,0
2015,Cases,0
2016,Cases,0
2017,Cases,0
2018,Cases,0
2019,Cases,0
1910,Deaths,950
1911,Deaths,440
1913,Deaths,421
1914,Deaths,329
1915,Deaths,691
1916,Deaths,7130
1917,Deaths,1182
1918,Deaths,960
1919,Deaths,747
1920,Deaths,769
1921,Deaths,1597
1922,Deaths,790
1923,Deaths,850
1924,Deaths,1079
1925,Deaths,1492
1926,Deaths,851
1927,Deaths,2013
1928,Deaths,1381
1929,Deaths,812
1930,Deaths,1370
1931,Deaths,2096
1932,Deaths,828
1933,Deaths,797
1934,Deaths,852
1935,Deaths,1040
1936,Deaths,780
1937,Deaths,1433
1938,Deaths,478
1939,Deaths,756
1940,Deaths,1004
1941,Deaths,
1942,Deaths,
1943,Deaths,1115
1944,Deaths,1433
1945,Deaths,1189
1946,Deaths,1845
1947,Deaths,580
1948,Deaths,2140
1949,Deaths,2720
1950,Deaths,1904
1951,Deaths,1551
1952,Deaths,3145
1953,Deaths,1450
1954,Deaths,1368
1955,Deaths,1043
1956,Deaths,566
1957,Deaths,221
1958,Deaths,255
1959,Deaths,454
1960,Deaths,230
1961,Deaths,90
1962,Deaths,60
1963,Deaths,41
1964,Deaths,17
1965,Deaths,16
1966,Deaths,9
1967,Deaths,16
1968,Deaths,24
1969,Deaths,13
1970,Deaths,7
1971,Deaths,18
1972,Deaths,2
1973,Deaths,10
1974,Deaths,3
1975,Deaths,9
1976,Deaths,16
1977,Deaths,16
1978,Deaths,13
1979,Deaths,4
1980,Deaths,6
1981,Deaths,0
1982,Deaths,0
1983,Deaths,3
1984,Deaths,0
1985,Deaths,0
1986,Deaths,0
1987,Deaths,0
1988,Deaths,1
1989,Deaths,0
1990,Deaths,0
1991,Deaths,1
1992,Deaths,0
1993,Deaths,0
1994,Deaths,0
1995,Deaths,0
1996,Deaths,0
1997,Deaths,0
1998,Deaths,0
1999,Deaths,0
2000,Deaths,0
2001,Deaths,
2002,Deaths,0
2003,Deaths,0
2004,Deaths,0
2005,Deaths,0
2006,Deaths,0
2007,Deaths,0
2008,Deaths,0
2009,Deaths,
2010,Deaths,
2011,Deaths,0
2012,Deaths,0
2013,Deaths,0
2014,Deaths,0
2015,Deaths,0
2016,Deaths,0
2017,Deaths,0
2018,Deaths,0
2019,Deaths,0
